月,日,名称,説明
1,1,もったいないフルーツの日,果物の生産、加工、販売などを手がける株式会社ドールが制定。おいしく食べられるのに、さまざまな理由で捨てられてしまう「もったいないフルーツ」。同社では厳格な規格に沿わなかったり、熟しすぎたり、傷ついてしまったフルーツを救出するプロジェクトを展開しており、その活動を広めるのが目的。日付は「もったいないフルーツ」を１つでも多く救出する。１本も残さない。１個も無駄にしないとの思いから毎月１日を記念日に。
1,1,Myハミガキの日,ハミガキや歯ブラシなどのオーラルケア製品の製造、販売を手がけるライオン株式会社が制定。約半数の人が家族で同じハミガキを使っていると言われるが、口の健康を守り快適な状態を保つためには、一人ひとりが自分に合ったハミガキを選ぶことが大切。個人用のハミガキについて考える日をつくることで、より多くの人に「１人１本のMyハミガキ」を新しい習慣にしてもらうのが目的。日付は「１人１本のMyハミガキ」の「１」にちなみ、月の初めの１日をハミガキを見直すきっかけにして欲しいとの思いから毎月１日に。
1,1,肉汁水餃子の日,肉汁水餃子専門店を東京・六本木などに構え、業務用餃子の餃包や点心の製造、卸し、販売などを手がける株式会社アールキューブが制定。肉汁あふれる水餃子の美味しさをより多くの人に知ってもらい、その普及と認知度の向上が目的。日付は中国では春節（旧正月）や祝いの席で供され、縁起の良い食べものとして知られる水餃子を食べて一年を元気に過ごしてほしいとの思いから元日の１月１日を記念日としたもの。
1,1,スカルプＤの発毛DAY,頭皮を洗う専用シャンプー「スカルプD」などの頭皮頭髪ケア商品の製造、販売を手がけるアンファー株式会社が制定。新年の始まりに頭皮・頭髪を労り、発毛祈願をすることで「幸多き、毛も多き」１年になって欲しいとの願いが込められている。日付は年始に行われる「初詣」と「発毛DAY」の響きが似てることから１月１日としたもの。
1,1,日本初の点字新聞「あけぼの」創刊記念日 ,１９０６年（明治３９年）１月１日に左近允孝之進（さこんじょう・こうのしん）氏が、日本初の点字新聞「あけぼの」を創刊したことから、点字・録音図書などを出版する社会福祉法人 桜雲会（おううんかい）が制定。「あけぼの」の創刊号には「視覚障害者が情報を得られるように」との左近允氏の思いなどが掲載されている。「あけぼの」の精神は現在の「点字毎日」に受け継がれている。
1,1,資格チャレンジの日 ,行政書士、社会保険労務士などの資格取得の通信講座で知られる株式会社フォーサイトが制定。自己啓発、転職、就職などで重要な資格とその取得について、毎月の初日である１日に考え、資格取得に挑戦してより良き人生を目指してもらうのが目的。
1,1,あずきの日,「古事記」の穀物起源神話にも書かれているほど古くから食べられていたあずき。毎月１日と１５日には小豆ご飯を食べる習慣もあったあずき。利尿作用、便通、乳の出にも効果的とされるあずきを食べて健康になってもらえたらと、三重県津市に本社を置き、あずきの製品を扱う井村屋グループ株式会社が制定。日付は毎月１日にあずきを食す習慣を広めたいとの願いから毎月１日とした。
1,1,元日,新しい希望と決意とをもって新しい年のはじめを祝う日」とする国民の祝日のひとつ。最も大切な年中行事であるお正月は、元旦に門松で年神様を迎え、井戸から若水を汲んで供え、雑煮やおせち料理を食べて祝う。この習慣は江戸時代からあった。
1,2,株式会社Stars・障がい者支援の日,大阪府大阪市に本社を置き、障がい者グループホームを運営する株式会社Stars（スターズ）が制定。「障がいをお持ちの方に寄り添いながら、地域社会に貢献する」を理念とする同社の障がい者支援の活動を多くの人に知ってもらう機会とするのが目的。日付は１から２へと前に進むイメージが社名のStarsのように「輝かしい未来」を連想させ、障がい者の方々と輝かしい未来を創造していくとのメッセージを込めて１月２日を記念日としたもの。
,2,,
,2,,
